Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,AQQSQ,,11.92987537,35245624,-0.455602659,,REIT,,,,-0.09001711,-0.549344792,2.83723E-05,,,,,-0.0317,-0.09001711,-0.2882,-0.299889981,-0.124091375,,,-0.16936472,-0.116530974,-0.080587598,-0.000846614,
,MANT,,35.13000107,1293560320,0.797069149,,Information Technology,,,,0.119502932,0.10338366,0,,,,,-0.0206,0.119502932,-0.139,-0.192122673,-0.096618206,,,0.054540277,-0.041702248,-0.056877311,-0.019037859,
,FVE,,2.589999914,123173664,1.849161522,,Health Care,,,,0.035999966,0.178642084,0,,,,,-0.2152,0.035999966,-0.4768,-0.690930802,-0.523020259,,,0.045752897,-0.190038616,-0.381660244,-0.175637071,
,MCPIQ,,38.27000046,3210707712,0.254124653,,Materials,,,,0.164283593,0.007952141,6.22916E-07,,,,,-0.0185,0.164283593,-0.3986,-0.477899061,0.081073413,,,-0.227083875,-0.221886593,-0.127285078,-0.034426443,
,UNIS,,5.300000191,339510048,0.15779209,,Health Care,,,,0.261904865,-0.119825614,0,,,,,0.0331,0.261904865,0.183,-0.048473963,-0.073426506,,,1.110377318,0.581132055,-0.049056602,-0.102132072,
,FSP,,12.69999981,1034254976,0.895707575,,REIT,,,,0.140359195,0.021547878,0,,,,,0.0068,0.140359195,0.0228,-0.073897801,0.006361574,,,0.008622047,-0.01080315,-0.020779528,-0.019188977,
,MDAS,,10.65999985,627512640,0.668010436,,Health Care,,,,0.10926121,-0.094971792,0,,,,,0.1197,0.10926121,-0.1586,-0.334581801,-0.42657344,,,-0.038508443,-0.055347093,-0.099793622,-0.103180114,
,CUTR,,7.050000191,97692552,0.951822817,,Health Care,,,,-0.009831418,-0.113109953,0,,,,,-0.046,-0.009831418,-0.1307,-0.20248868,-0.024896242,,,-0.053716311,-0.057900708,-0.048581559,-0.020070921,
,H,,37.18999863,6141192192,0.785189582,,Consumer Discretionary,,,,0.185527499,0.011561273,0,,,,,0.0377,0.185527499,-0.0412,-0.160686132,-0.077171232,,,0.040871203,-0.026071526,-0.054175856,-0.034447433,
,MITI,,6.570000172,604744832,0.259026591,,,,,,0.368749981,-0.084058593,0,,,,,0.0218,0.368749981,0.1608,-0.028106516,-0.122830391,,,0.177625566,0.038691019,-0.006986301,-0.036727549,
