EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3567 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20121224
AQQSQ US Equity,02970Q203,US02970Q2030,2448880,Financials,Real Estate Management & Development,Real Estate Operating Companies,3.430000067,REIT,12227264,-14.24999833,-12.05128249,-29.27834775,1857.222222,-11424000,240000,766000,1000,-12558000,57783000,-17.78,3.71,3.7851,3.8929,4.4752,-4.72,-13.16,,,20121231
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,25.94000053,Common Stock,959868224,4.72559759,12.65514564,-14.17712975,159370.3387,105289000,0,1148094976,0,,2642312000,-4.9,25.5448,24.6613,23.7285,24.9892,-1.78,9.00,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,3.140000105,Common Stock,31609438,-4.848480295,0.641032695,27.64227871,2523.090909,3300000,1311000,107138000,4000,,43840000,40.13,3.0973,3.256,3.1081,3.217,6.44,-0.95,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,5.010000229,Common Stock,240101744,1.829271366,63.19219341,67.00000763,311787.0968,61826000,0,302727008,0,,1360423008,12.97,4.9395,5.075,4.9445,4.1194,0.4,-1.96,,,
MCPIQ US Equity,608753109,US6087531090,B458HM7,Materials,Metals & Mining,Diversified Metals & Mining,9.43999958,Common Stock,1302358400,5.239680037,-56.19489599,-60.63386255,6941623.113,-63021000,9487000,1601820032,2000,179596000,527156992,-21.82,9.7435,9.2676,10.3781,17.1956,-1.15,-17.91,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,2.269999981,Common Stock,188998832,0,-32.84023952,-27.24358769,254656.629,-55094000,0,51756000,0,,4081000,-2.2,22.9125,24.693,27.2065,32.9725,-7.35,-27.24,,,
MKTG US Equity,761248103,US7612481033,B5MYYV3,,,,5.960000038,Common Stock,290764544,-8.588956203,-50.82508173,-32.95838236,398328.7419,7542000,0,153971008,0,-4607000,155395000,28.02,5.9105,6.8506,8.3413,10.0134,0.51,-41.74,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,12.31000042,REIT,1020959424,6.580088453,20.5084173,33.01067953,258912.7419,22053000,0,874595968,0,,158101000,7.14,12.0215,11.5126,11.3534,10.8311,1.74,13.10,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,16.77000046,Common Stock,990374144,4.161491059,24.68402004,81.29730225,459235.5806,11623000,0,437804000,0,,633121984,16.58,16.688,16.8216,17.0172,14.8974,-2.9,-5.79,,,
PLMT US Equity,697062206,US6970622063,2166591,Financials,Banks,Regional Banks,8.329999924,Common Stock,106221664,-7.134897706,11.06666565,63.01369288,1377.068182,-6856000,0,93887000,0,0,72252000,4.08,8.2689,8.2284,7.7233,#N/A N/A,3.09,-2.00,,,
EAC US Equity,29482P100,US29482P1003,B3X9J74,Industrials,Aerospace & Defense,Aerospace & Defense,8.430000305,Common Stock,81659728,10.62992693,22.52907217,,21872.85484,24857000,,105621000,,,172462000,39.15,8.1315,7.7884,7.2308,#N/A N/A,5.38,15.32,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,9,Common Stock,127145704,-4.76190284,25.08686289,20.80537222,63779.67742,-8512000,0,87769000,0,1000,73286000,22.22,9.121,8.5693,7.9767,7.832,4.29,20.64,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",38.56999969,Common Stock,6325572608,5.671232041,3.794402188,2.470776621,655041.6613,124000000,0,4895000064,0,,3939000000,3.89,37.373,36.7024,37.7656,38.0662,-0.72,-3.94,,,
