EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3668 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20160722
ACFC US Equity,48426100,US0484261005,B3R7WM0,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,6,Common Stock,93054368,-0.332225598,8.108104393,33.92857086,20820.31746,4557000,0,84446000,0,-100000,40727000,,6.0363,6.1069,6.1337,5.9954,-0.66,-6.54,,,20160729
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,39.50999832,Common Stock,1510693760,8.753086513,38.84876457,35.31168383,140069.8254,54917000,0,1210992000,0,,1587424992,,39.071,37.0638,34.7431,32.0898,-0.3,17.58,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,6.369999886,Common Stock,77104896,7.565011135,15.18986698,29.38771039,3966.66129,15687000,2041000,83385000,3500000,-11239000,36602000,,6.0618,5.9421,5.6815,5.4875,5.14,9.62,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,2.369999886,Common Stock,117248664,41.91616446,-6.69291649,-47.68212415,363145.1111,-38237000,0,183132992,0,,1375648992,,2.42,2.1504,2.2368,2.6128,-1.66,-2.87,,,
UNIS US Equity,9.05E+305,US90478E3018,BZ6VNV3,Health Care,Health Care Equipment & Supplies,Health Care Supplies,3.539999962,Common Stock,60008944,20.40815962,-60.57083168,-81.06951897,196176.6063,-100487000,,-49223000,2450000,,14061000,,3.6615,3.4258,4.8167,6.4632,-5.35,-35.62,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,12.81999969,REIT,1284402560,6.769289806,35.70694213,17.31280075,279480.381,22769000,0,894982976,0,,243747000,,12.4055,11.976,11.31,10.6857,3.14,22.55,,,
FSNN US Equity,36113B400,US36113B4005,BMM28B4,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers,1.859874964,Common Stock,27547728,-4.865732842,-11.85426274,-38.2101339,23129.4127,-6499649,2691214,12510004,174,,109615896,,1.8661,1.7771,1.7496,2.0524,-2.11,6.29,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,10.78999996,Common Stock,141154032,-1.819834517,-4.003557103,-27.92251323,46930.07937,-2847000,0,49589000,0,-249000,98113000,,10.876,10.7038,11.0357,11.7844,-0.55,-7.46,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",50.43999863,Common Stock,6777710592,4.452262726,30.40330462,-11.71013883,451243.746,136000000,0,3996000000,0,,4362999872,,50.508,48.6886,48.311,47.1877,-1.83,5.35,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,5.800000191,Common Stock,636820416,5.839419171,58.90411066,15.53785284,368171.4444,-1597000,0,20168000,0,,56245000,,5.84,5.6344,5.1655,4.709,-0.51,21.59,,,
CKEC US Equity,143436400,US1434364006,2845469,Consumer Discretionary,Media,Movies & Entertainment,30.81999969,Common Stock,751258624,1.082321831,38.95400934,28.57739081,355675.9683,1386000,0,290696000,0,,826222000,,30.579,30.2964,30.1245,26.432,-1,2.77,,,
VRNT US Equity,92343X100,US92343X1000,2849193,Information Technology,Software,Application Software,35.27000046,Common Stock,2193723904,7.991428728,-3.660202486,-39.35694541,579687.8889,1147000,0,1056620992,0,,1106153984,,33.713,33.939,34.1145,37.4363,2.62,4.23,,,
VSI US Equity,9.28E+105,US92849E1010,B55C7L5,Consumer Discretionary,Specialty Retail,Specialty Stores,29.26000023,Common Stock,710110784,-3.876479253,-3.844890123,-16.75675972,272397.2222,49253000,0,449447008,0,,1266488000,,31.134,30.586,30.0898,30.4062,-6.76,6.91,,,
BCBP US Equity,55298103,US0552981039,2848253,Financials,Banks,Regional Banks,10.56999969,Common Stock,118615456,4.998701636,3.708906716,-2.309249223,7529.142857,6919000,982000,132296000,10000,,77569000,,10.5057,10.4497,10.2592,10.3045,1.18,5.83,,,
MACK US Equity,590328100,US5903281005,B72XX62,Health Care,Biotechnology,Biotechnology,5.800000191,Common Stock,740805760,3.20285247,-5.99675658,-42.34592496,1798205.032,-152013000,0,-217196992,0,,95697000,,5.506,6.0194,6.7941,7.2384,5.45,-18.08,,,
CVGW US Equity,128246105,US1282461052,2859200,Consumer Staples,Food Products,Packaged Foods & Meats,65.77999878,Common Stock,1146901120,-0.182098246,27.11110875,22.12109361,125246.2063,29480000,0,204366000,0,-17228000,865322016,,66.3285,63.9024,60.0557,55.6221,-0.38,15.06,,,
SBRA US Equity,78573L106,US78573L1061,B5NLBP6,Financials,Real Estate Investment Trusts (REITs),Health Care REITs,23.90999985,REIT,1560682624,16.18075771,36.44115986,-4.611431983,577303.9206,44201000,10242000,1007366016,58000,,245851000,,22.36,21.5005,21.0479,20.4501,-1.08,15.65,,,
RGC US Equity,758766109,US7587661098,2866824,Consumer Discretionary,Media,Movies & Entertainment,23.52000046,Common Stock,3687798016,6.860518915,39.33554778,27.74408805,1292263.492,151200000,0,-873699968,0,,3146200064,,22.8065,21.5294,21.2319,19.9479,-0.42,14.00,,,
DDE US Equity,260095104,US2600951048,2857486,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,1.029999971,Common Stock,34005052,-7.207210981,13.18680678,15.73033572,18479.7619,2151000,0,115720000,0,,184248000,,1.0645,1.0795,1.0769,1.0468,-1.9,-4.63,,,
AMRC US Equity,2.36E+111,US02361E1082,B3SWPT2,Industrials,Construction & Engineering,Construction & Engineering,4.949999809,Common Stock,231576560,15.38461196,-9.174312248,-25.56391371,88335.5873,2341000,0,288895008,0,,649174992,,5.0055,4.7942,4.6888,5.2845,-3.13,10.74,,,
FBMS US Equity,318916103,US3189161033,2184300,Financials,Banks,Regional Banks,17.5,Common Stock,95060248,-0.568183973,2.479254343,3.472825744,5592.619048,9838000,342000,110298000,17123000,,51294000,,17.4465,17.101,16.7003,16.9508,-1.37,6.42,,,
CPSI US Equity,205306103,US2053061030,2872122,Health Care,Health Care Technology,Health Care Technology,39.63999939,Common Stock,536158720,0.993629018,-22.59050478,-20.96789027,189902.5238,11172536,0,163288000,0,,205577120,,40.5215,40.3962,45.5233,47.0825,-2.05,-21.66,,,
CME US Equity,12572Q105,US12572Q1058,2965839,Financials,Diversified Financial Services,Specialized Finance,102.2399979,Common Stock,34622857216,6.400251598,15.2418301,11.28481323,1408797.651,1339500000,0,21073899520,0,7299999744,3504700032,,100.468,97.7506,95.8635,94.0915,0.44,11.94,,,
NXST US Equity,65336K103,US65336K1034,2949758,Consumer Discretionary,Media,Broadcasting,50.54999924,Common Stock,1550763008,4.680054418,13.06300532,-7.831490421,454970.6825,86745000,0,111404000,0,,954138992,,51.9315,50.9836,49.7057,50.417,-7.25,-1.07,,,
CYNO US Equity,232577205,US2325772059,B0T4N70,Health Care,Health Care Equipment & Supplies,Health Care Equipment,54.95999908,Common Stock,1292807296,15.26845372,51.82319869,43.05049897,326629.1111,19643000,0,440302016,0,,385863000,,51.6985,49.9799,47.4222,43.0333,5.41,12.30,,,
CEVA US Equity,157210105,US1572101053,2986937,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,30.05999947,Common Stock,614431872,13.90678348,29.84881193,74.56446379,149234.5873,7581000,0,187272000,0,,62173000,,28.453,27.5138,25.2464,23.9483,2.73,30.36,,,
CYTK US Equity,23282W605,US23282W6057,BBBSBJ5,Health Care,Biotechnology,Biotechnology,11.11999989,Common Stock,440586176,18.17215798,44.41558651,57.50708181,347801.9206,-42144000,0,48746000,0,,31925000,,9.977,9.1038,8.2839,8.6793,12.89,36.61,,,
BDSI US Equity,09060J106,US09060J1060,2820165,Health Care,Pharmaceuticals,Pharmaceuticals,2.549999952,Common Stock,136667200,4.93826676,-37.03704118,-67.63959498,1124828.222,-48212000,,19796906,2093.155029,,38217000,,2.4685,2.3868,2.7391,3.7914,6.69,-24.56,,,
APPY US Equity,92262A206,US92262A2069,BYZCF36,Health Care,Biotechnology,Biotechnology,3.369999886,Common Stock,13065355,-1.461993849,58.96226733,-2.460203763,78099.52381,-6011681,0,16678031,0,,186798,,3.4818,3.493,3.1371,2.6712,-6.13,9.06,,,
FORM US Equity,346375108,US3463751087,2891826,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,9.350000381,Common Stock,653346752,4.938277683,12.51504103,46.09375378,372715.0317,-16106000,0,286211008,0,-3339000,265140000,,9.6065,8.5758,7.9567,8.0181,-3.11,21.43,,,
SAFT US Equity,78648T100,US78648T1007,2958538,Financials,Insurance,Property & Casualty Insurance,63.70000076,Common Stock,965585408,4.187113835,15.670021,17.52730744,58105.8254,33888000,0,658331008,0,1298000,799742992,,63.4315,61.562,59.1569,57.5072,-0.47,13.85,,,
RRGB US Equity,75689M101,US75689M1018,2966144,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,48.36000061,Common Stock,659970624,-1.966351479,-21.67152689,-47.40619661,342387.0476,45364000,0,392332992,0,,1264817024,,48.855,50.596,56.9256,61.2564,-2.74,-25.44,,,
CAPR US Equity,14070B101,US14070B1017,BGPGP21,Health Care,Biotechnology,Biotechnology,3.700000048,Common Stock,66423600,-10.71697738,38.57677685,-12.94117535,28510.38095,-13647549,0,-1082905,0,,4944835,,4.039,3.8291,3.4721,3.3494,-9.54,-6.09,,,
