Date,Cusip,ISIN,Ticker,Exchange,Name,Shares,Mkt Value,Weight,ES,Economic Sector,SubS,SubSector,IND,Industry
--------,---------,------------,-------,------------,-------------------------,---------,-------------,---------,--,------------------------------,----,------------------------------------------------,-------,------------------------------------------------
20131231,361105,US0003611052,AIR,NYSE,AAR CORP,39733,1112921.33,0.137375,8,Producer Durables,840,Transportation & Freight,840300,Aerospace
20131231,00081T108,US00081T1088,ACCO,NYSE,ACCO BRANDS CORP,113533,762941.76,0.094175,8,Producer Durables,820,Manufacturing & Production,820650,Office Supplies Equipment
20131231,957100,US0009571003,ABM,NYSE,ABM INDUSTRIES INC,54648,1562386.32,0.192856,8,Producer Durables,850,Commercial Services,850484,Environmental Maint & Security Service
20131231,1228105,US0012281053,MITT,NYSE,AG MORTGAGE INVT TR INC,27934,436887.76,0.053928,10,Financial Services,1050,Real Estate,1050806,Real Estate Investment Trusts (REITs)
20131231,1282102,US0012821023,AHC,NYSE,A H BELO CORP,18888,141093.36,0.017416,3,Consumer Discretionary,350,Media,350740,Publishing
20131231,1547108,US0015471081,AKS,NYSE,AK STEEL HOLDING CORP,136310,1117742,0.13797,7,Materials & Processing,740,Metals & Minerals,740835,Steel
20131231,1.87E+205,US00187E2037,ATNY,NASDAQ,API TECHNOLOGIES CORP,32276,110061.16,0.013586,8,Producer Durables,840,Transportation & Freight,840300,Aerospace
20131231,00191G103,US00191G1031,ARC,NYSE,ARC DOCUMENT SOLUTIONS,37678,309713.16,0.03823,1,Technology,130,Information Technology,130439,Computer Services Software & Systems
20131231,00207R101,US00207R1014,ATMI,NASDAQ,ATMI INC,31930,964605.3,0.119068,1,Technology,120,Electronics,120738,Production Technology Equipment
20131231,00234P102,US00234P1021,AVHI,NASDAQ,A V HOMES INC,9441,171542.97,0.021175,10,Financial Services,1050,Real Estate,1050805,Real Estate
20131231,3881307,US0038813079,ACTG,NASDAQ,ACACIA RESEARCH CORP,35077,510005.55,0.062953,1,Technology,120,Electronics,120463,Electronic Components
20131231,4225108,US0042251084,ACAD,NASDAQ,ACADIA PHARMACEUTICALS,3854,96315.96,0.011889,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
20131231,4239109,US0042391096,AKR,NYSE,ACADIA REALTY TRUST,44997,1117257.51,0.137911,10,Financial Services,1050,Real Estate,1050806,Real Estate Investment Trusts (REITs)
20131231,00430U103,US00430U1034,ACCL,NASDAQ,ACCELRYS INC,55846,532770.84,0.065763,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
20131231,4337101,US0043371014,ANCX,NASDAQ,ACCESS NATL CORP,7307,109239.65,0.013484,10,Financial Services,1010,Banks,1010400,Banks: Diversified
20131231,00434H108,US00434H1086,XLRN,NASDAQ,ACCELERON PHARMA INC,924,36592.3,0.004517,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
20131231,00439T206,US00439T2069,ACW,NYSE,ACCURIDE CORP NEW,2564,9567.42,0.001181,8,Producer Durables,840,Transportation & Freight,840350,Commercial Vehicles & Parts
20131231,4446100,US0044461004,ACET,NASDAQ,ACETO CORP,21915,548079.14,0.067653,7,Materials & Processing,720,Chemicals and Synthetics,720433,Chemicals: Diversified
20131231,00508B102,US00508B1026,BIRT,NASDAQ,ACTUATE CORP,3028,23352.05,0.002883,1,Technology,130,Information Technology,130439,Computer Services Software & Systems
20131231,00508X203,US00508X2036,ATU,NYSE,ACTUANT CORP,73186,2681535.04,0.331,8,Producer Durables,810,Machinery,810584,Machinery: Industrial
20131231,5125109,US0051251090,ACXM,NASDAQ,ACXIOM CORP,55361,2047243.75,0.252705,1,Technology,130,Information Technology,130439,Computer Services Software & Systems
20131231,6351308,US0063513081,AE,NYSE MKT,ADAMS RESOURCES & ENERGY,1976,135347.78,0.016707,6,Energy,620,Non-Renewable Energy,620605,Oil: Refining & Marketing
20131231,6739106,US0067391062,ADUS,NASDAQ,ADDUS HOMECARE CORP,4870,109316.12,0.013494,2,Health Care,210,Health Care Services,210499,Health Care Services
20131231,00738A106,US00738A1060,ADTN,NASDAQ,ADTRAN INC,20745,560346.76,0.069167,1,Technology,140,Telecommunication,140448,Communications Technology
20131231,00770F104,US00770F1049,AEGN,NASDAQ,AEGION CORP,34546,756203.38,0.093343,8,Producer Durables,820,Manufacturing & Production,820443,Construction
20131231,00771V108,US00771V1089,AERI,NASDAQ,AERIE PHARMACEUTICALS,1599,28730.54,0.003546,2,Health Care,230,Pharmaceuticals & Biotech,230460,Pharmaceuticals
20131231,7767106,US0077671065,ARX,NYSE,AEROFLEX HLDG CORP,19599,127393.5,0.015725,1,Technology,120,Electronics,120476,Semiconductors & Components
20131231,7973100,US0079731008,AEIS,NASDAQ,ADVANCED ENERGY INDS INC,2433,55639.73,0.006868,8,Producer Durables,820,Manufacturing & Production,820734,Power Transmission Equip
20131231,8073108,US0080731088,AVAV,NASDAQ,AEROVIRONMENT INC,18521,539516.73,0.066596,8,Producer Durables,840,Transportation & Freight,840300,Aerospace
20131231,00826T108,US00826T1088,AFFX,NASDAQ,AFFYMETRIX INC,71098,609309.86,0.075211,2,Health Care,220,Medical Equipment & Services,220471,Medical Equipment
20131231,00847J105,US00847J1051,AGYS,NASDAQ,AGILYSYS INC,14219,197928.48,0.024432,1,Technology,120,Electronics,120475,Electronics
20131231,00847X104,US00847X1046,AGIO,NASDAQ,AGIOS PHARMACEUTICALS,984,23572.55,0.00291,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
20131231,8492100,US0084921008,ADC,NYSE,AGREE REALTY CORP,14892,432165.84,0.053345,10,Financial Services,1050,Real Estate,1050806,Real Estate Investment Trusts (REITs)
20131231,00922R105,US00922R1059,ATSG,NASDAQ,AIR TRANSPORT SERVICES,51856,419515.04,0.051784,8,Producer Durables,840,Transportation & Freight,840310,Air Transport
20131231,11311107,US0113111076,ALG,NYSE,ALAMO GROUP INC,7079,429624.51,0.053031,8,Producer Durables,810,Machinery,810570,Machinery: Agricultural
20131231,12348108,US0123481089,AIN,NYSE,ALBANY INTERNATIONAL,23707,851781.3,0.105141,8,Producer Durables,810,Machinery,810610,Machinery: Specialty
20131231,12423109,US0124231095,AMRI,NASDAQ,ALBANY MOLECULAR RESRCH,23263,234491.04,0.028945,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
20131231,14491104,US0144911049,ALEX,NYSE,ALEXANDER & BALDWIN INC,43049,1796434.77,0.221746,10,Financial Services,1050,Real Estate,1050805,Real Estate
20131231,16230104,US0162301040,ALCO,NASDAQ,ALICO INC,352,13685.82,0.001689,4,Consumer Staples,410,Food/Beverage & Tobacco,410305,Agriculture Fishing & Ranching
20131231,18522300,US0185223007,ALE,NYSE,ALLETE INC,39922,1991309.36,0.245801,11,Utilities,1110,Utilities,1110870,Utilities: Electrical
20131231,18606301,US0186063014,AIQ,NASDAQ,ALLIANCE HEALTHCARE SVCS,3024,74800.57,0.009233,2,Health Care,210,Health Care Services,210499,Health Care Services
20131231,18772103,US0187721032,AOI,NYSE,ALLIANCE ONE INTL INC,87641,267305.05,0.032995,4,Consumer Staples,410,Food/Beverage & Tobacco,410856,Tobacco
20131231,19344100,US0193441005,ANV,NYSE MKT,ALLIED NEVADA GOLD CORP,103888,368802.4,0.045524,7,Materials & Processing,740,Metals & Minerals,740498,Gold
20131231,20409108,US0204091088,AFAM,NASDAQ,ALMOST FAMILY INC,8266,267239.78,0.032987,2,Health Care,210,Health Care Services,210499,Health Care Services
20131231,02043Q107,US02043Q1076,ALNY,NASDAQ,ALNYLAM PHARMACEUTICALS,3312,213104,0.026305,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
