Date,Cusip,ISIN,Ticker,Exchange,Name,,Shares,Mkt Value,Weight,ES,Economic Sector,SubS,SubSector,IND,Industry
--------,---------,------------,-------,------------,--------------------,-----,---------,-------------,---------,--,------------------------------,----,------------------------------------------------,-------,------------------------------------------------
20120531,361105,US0003611052,AIR,NYSE,AAR CORP,,29686,357704.65,0.063824,8,Producer Durables,840,Transportation & Freight,840300,Aerospace
20120531,00081T108,US00081T1088,ACCO,NYSE,ACCO BRANDS CORP,,111125,1013460,0.180829,8,Producer Durables,820,Manufacturing & Production,820650,Office Supplies Equipment
20120531,957100,US0009571003,ABM,NYSE,ABM INDUSTRIES INC,,38334,823019.39,0.146849,8,Producer Durables,850,Commercial Services,850484,Environmental Maint & Security Service
20120531,1228105,US0012281053,MITT,NYSE,AG MORTGAGE INVT TR,INC,8213,164323.6,0.02932,10,Financial Services,1050,Real Estate,1050806,Real Estate Investment Trusts (REITs)
20120531,1282102,US0012821023,AHC,NYSE,A H BELO CORP,,18649,74596,0.01331,3,Consumer Discretionary,350,Media,350740,Publishing
20120531,00163U106,US00163U1060,AMAG,NASDAQ,AMAG PHARMACEUTICALS,INC,18854,264515.45,0.047197,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
20120531,1744101,US0017441017,AHS,NYSE,AMN HEALTHCARE SERVI,CES,21574,129439.68,0.023096,2,Health Care,210,Health Care Services,210499,Health Care Services
20120531,00207R101,US00207R1014,ATMI,NASDAQ,ATMI INC,,29843,597141.98,0.106547,1,Technology,120,Electronics,120738,Production Technology Equipment
20120531,00234P102,US00234P1021,AVHI,NASDAQ,A V HOMES INC,,8927,100428.75,0.017919,10,Financial Services,1050,Real Estate,1050805,Real Estate
20120531,00246W103,US00246W1036,AXTI,NASDAQ,AXT INC,,18417,70903.32,0.012651,1,Technology,120,Electronics,120476,Semiconductors & Components
20120531,4239109,US0042391096,AKR,NYSE,ACADIA REALTY TRUST,,33812,756367.64,0.134957,10,Financial Services,1050,Real Estate,1050806,Real Estate Investment Trusts (REITs)
20120531,00430U103,US00430U1034,ACCL,NASDAQ,ACCELRYS INC,,55389,432034.2,0.077087,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
20120531,4397105,US0043971052,ARAY,NASDAQ,ACCURAY INC,,8205,51446.85,0.00918,2,Health Care,220,Medical Equipment & Services,220471,Medical Equipment
20120531,00439T206,US00439T2069,ACW,NYSE,ACCURIDE CORP NEW,,36361,215256.85,0.038408,8,Producer Durables,840,Transportation & Freight,840350,Commercial Vehicles & Parts
20120531,4446100,US0044461004,ACET,NASDAQ,ACETO CORP,,26620,227068.6,0.040515,7,Materials & Processing,720,Chemicals and Synthetics,720433,Chemicals: Diversified
20120531,4498101,US0044981019,ACIW,NASDAQ,ACI WORLDWIDE INC,,4887,186663.17,0.033306,1,Technology,130,Information Technology,130439,Computer Services Software & Systems
20120531,00508B102,US00508B1026,BIRT,NASDAQ,ACTUATE CORP,,3042,20326.44,0.003627,1,Technology,130,Information Technology,130439,Computer Services Software & Systems
20120531,00508X203,US00508X2036,ATU,NYSE,ACTUANT CORP,,57690,1509727.31,0.269377,8,Producer Durables,810,Machinery,810584,Machinery: Industrial
20120531,5125109,US0051251090,ACXM,NASDAQ,ACXIOM CORP,,81149,1141766.43,0.203723,1,Technology,130,Information Technology,130439,Computer Services Software & Systems
20120531,00770F104,US00770F1049,AEGN,NASDAQ,AEGION CORP,,39487,622709.99,0.111109,8,Producer Durables,820,Manufacturing & Production,820443,Construction
20120531,7973100,US0079731008,AEIS,NASDAQ,ADVANCED ENERGY INDS,INC,40138,547883.7,0.097758,8,Producer Durables,820,Manufacturing & Production,820734,Power Transmission Equip
20120531,00826A109,US00826A1097,AFFY,NASDAQ,AFFYMAX INC,,18223,257669.83,0.045975,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
20120531,00826T108,US00826T1088,AFFX,NASDAQ,AFFYMETRIX INC,,70504,334188.96,0.059629,2,Health Care,220,Medical Equipment & Services,220471,Medical Equipment
20120531,00847J105,US00847J1051,AGYS,NASDAQ,AGILYSYS INC,,16985,123650.8,0.022063,1,Technology,120,Electronics,120475,Electronics
20120531,8492100,US0084921008,ADC,NYSE,AGREE REALTY CORP,,11347,237379.24,0.042355,10,Financial Services,1050,Real Estate,1050806,Real Estate Investment Trusts (REITs)
20120531,00922R105,US00922R1059,ATSG,NASDAQ,AIR TRANSPORT SERVIC,ES,53828,272907.96,0.048694,8,Producer Durables,840,Transportation & Freight,840310,Air Transport
20120531,11311107,US0113111076,ALG,NYSE,ALAMO GROUP INC,,6243,193345.56,0.034498,8,Producer Durables,810,Machinery,810570,Machinery: Agricultural
20120531,11659109,US0116591092,ALK,NYSE,ALASKA AIR GROUP INC,,67644,2320163.96,0.413981,8,Producer Durables,840,Transportation & Freight,840310,Air Transport
20120531,01167P101,US01167P1012,ALSK,NASDAQ,ALASKA COMMUNICATION,S,36000,71279.39,0.012718,11,Utilities,1110,Utilities,1110880,Utilities: Telecommunications
20120531,12348108,US0123481089,AIN,NYSE,ALBANY INTERNATIONAL,,22336,407400.32,0.072691,8,Producer Durables,810,Machinery,810610,Machinery: Specialty
20120531,12423109,US0124231095,AMRI,NASDAQ,ALBANY MOLECULAR RES,RCH,22006,56995.54,0.01017,2,Health Care,230,Pharmaceuticals & Biotech,230412,Biotechnology
20120531,16230104,US0162301040,ALCO,NASDAQ,ALICO INC,,2280,55671.74,0.009933,4,Consumer Staples,410,Food/Beverage & Tobacco,410305,Agriculture Fishing & Ranching
20120531,18522300,US0185223007,ALE,NYSE,ALLETE INC,,33724,1316922.2,0.234975,11,Utilities,1110,Utilities,1110870,Utilities: Electrical
20120531,18772103,US0187721032,AOI,NYSE,ALLIANCE ONE INTL IN,C,87085,249933.95,0.044595,4,Consumer Staples,410,Food/Beverage & Tobacco,410856,Tobacco
20120531,19205103,US0192051037,ALNC,NASDAQ,ALLIANCE FINANCIAL C,ORP,4745,148945.55,0.026576,10,Financial Services,1010,Banks,1010400,Banks: Diversified
