Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,ACFC,,4.199999809,65138056,1.118854391,,Financials,,,,0.012048124,0.023288997,0,,,,,0.0096,0.012048124,0.0825,0.019417458,-0.023255902,,,4.1669,4.0769,4.0148,4.0332,
,MANT,,29.22999954,1095937408,1.060754886,,Information Technology,,,,-0.138774286,0.045091991,0,,,,,-0.102,-0.138774286,-0.0957,0.051854372,0.007406043,,,32.7215,33.065,32.2524,30.4037,
,SVBI,,4.699999809,47316680,1.647051315,,Financials,,,,-0.050505052,0.017647054,0.073969687,,,,,-0.0257,-0.050505052,0.0562,0,-0.002123191,,,4.7802,4.6595,4.5924,4.5928,
,FVE,,4.25,208238592,1.030006004,,Health Care,,,,-0.042792805,-0.381053287,0,,,,,-0.0556,-0.042792805,0.2213,0.029055662,-0.120082802,,,4.4285,4.0926,3.9971,4.1495,
,UNIS,,3.349999905,439737952,-0.045324721,,Health Care,,,,-0.1645886,-0.163781633,0,,,,,-0.1043,-0.1645886,-0.1562,-0.087193505,0.030769201,,,37.91,37.988,37.946,32.945,
,FSP,,11.81000042,1183213312,0.818390035,,REIT,,,,-0.064724365,0.017890265,0,,,,,-0.0514,-0.064724365,-0.0691,0.014635152,0.030486609,,,12.5265,12.6142,12.6494,12.3016,
,MDAS,,20.23999977,1221751168,0.465364803,,Health Care,,,,0.075451652,-0.02022916,0,,,,,-0.003,0.075451652,0.0935,-0.065558637,-0.113447226,,,20.148,19.4972,19.2821,20.4265,
,PLMT,,18.14999962,232584528,0.494345006,,Financials,,,,-0.040526336,0.043248793,0,,,,,0.0105,-0.040526336,0.1157,0.102106823,0.365256869,,,18.822,18.2868,17.5787,15.9887,
,FSNN,,3.809999943,28327456,0.46912889,,Telecommunication Services,,,,-0.078263009,-0.152267291,9.46079E-06,,,,,-0.138,-0.078263009,0.0613,0.029764471,-0.214433025,,,4.2454,4.0555,3.7925,3.9803,
,EAC,,3.549999952,49074556,3.598280298,,Industrials,,,,-0.178240784,-0.208478707,0,,,,,-0.1706,-0.178240784,-0.4965,-0.747151,-0.77545858,,,4.102,4.9564,6.2551,9.7919,
,CUTR,,13.61999989,198400512,0.405160245,,Health Care,,,,0.054179551,-0.053487765,0,,,,,-0.0208,0.054179551,0.0241,0.297142846,0.321047462,,,13.6175,13.414,12.6032,11.331,
,H,,58.04999924,8500398592,0.529033993,,Consumer Discretionary,,,,-0.019756872,0.040703974,0,,,,,-0.0119,-0.019756872,0.0318,-0.019756872,0.031449902,,,58.657,59.0148,58.6593,59.1915,
,9876547D,,13.34000015,898785728,0.551567494,,,,,,-0.017673032,0.013127712,0,,,,,-0.0133,-0.017673032,0.0262,-0.063202221,-0.085047996,,,13.505,13.5558,13.5842,14.0486,
,CORT,,5.769999981,621553408,-0.005450859,,Health Care,,,,0.030357157,-0.050491236,0,,,,,-0.104,0.030357157,0.9828,0.77538461,0.305429837,,,6.168,5.064,4.0633,3.4406,
,MWV,,48.79999924,8171107840,0.383056977,,Materials,,,,-0.021455779,0.034267079,0,,,,,0.0363,-0.021455779,-0.0246,0.116526977,0.277768427,,,47.9565,50.0316,48.4901,45.5742,
,CKEC,,30.18000031,738982720,0.252641891,,Consumer Discretionary,,,,-0.101785664,-0.011744524,0,,,,,-0.0662,-0.101785664,0.0907,-0.058346302,0.017532045,,,32.21,32.2296,29.6227,30.4447,
,VRNT,,61.43000031,3741388800,0.272022517,,Information Technology,,,,-0.008073631,0.009729542,0,,,,,-0.0402,-0.008073631,0.1508,0.068533632,0.403472691,,,63.4213,61.45,59.0184,56.2186,
,VSI,,41.88000107,1245680512,0.450424495,,Consumer Discretionary,,,,0.016751699,0.049162686,0,,,,,-0.029,0.016751699,-0.0092,-0.107607057,-0.12531328,,,41.0235,41.323,42.8258,43.1208,
,BCBP,,12.06000042,101414280,0.901993289,,Financials,,,,0.0130746,0.063028599,0,,,,,-0.0133,0.0130746,0.0541,-0.016333874,-0.041530383,,,12.1126,12.0513,11.9057,12.3777,
,EPAX,,2.859999895,48744768,0.68237067,,Consumer Discretionary,,,,0.130434754,-0.365187911,0,,,,,0.0486,0.130434754,0.1349,-0.194366216,-0.325471686,,,2.7047,2.5501,2.4887,3.0226,
,MACK,,11.10000038,1194319488,-0.085521505,,Health Care,,,,-0.065656543,-0.069963691,0,,,,,-0.188,-0.065656543,0.1771,0.210468952,1.528473968,,,12.5945,11.9532,11.1271,9.4036,
,CVGW,,50.65000153,876244992,0.205580642,,Consumer Staples,,,,-0.014974653,0.03039675,0,,,,,0.0014,-0.014974653,0.2628,0.059962508,0.654891632,,,50.3775,48.6268,46.2335,44.0504,
,SBRA,,29.87999916,1769913600,0.53208812,,REIT,,,,-0.098642601,0.02071683,3.277E-05,,,,,-0.0377,-0.098642601,-0.0749,0.073670437,0.051302951,,,31.5985,32.1254,31.7094,29.4877,
,SYRX,,2.339999914,46346996,0.664919038,,Information Technology,,,,1.108108004,-0.165102394,0,,,,,0,1.108108004,0.5601,0.017391288,-0.559332413,,,2.0253,1.6017,1.5668,2.3331,
,ARO,,3.089999914,244616192,0.3805717,,Consumer Discretionary,,,,-0.109510119,-0.844007906,0,,,,,0,-0.109510119,0,0.026578048,-0.378269609,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,
,RGC,,22,3442512128,-0.259926463,,Consumer Discretionary,,,,-0.03677759,0.037617878,0,,,,,-0.0121,-0.03677759,0.0494,0.059171057,0.275287534,,,22.516,22.9302,22.0116,21.3922,
,DDE,,1.179999948,38827748,2.875778425,,Consumer Discretionary,,,,0.008547001,-0.000128774,0,,,,,0,0.008547001,0.3409,0.573333263,-0.18620696,,,1.1685,1.1585,1.0355,1.0177,
,AMRC,,6.71999979,312225248,0.844098963,,Industrials,,,,-0.091891932,0.033254838,0,,,,,-0.0795,-0.091891932,0.1527,-0.184466022,0.048361927,,,7.3885,7.1216,6.8924,7.2695,
,POM,,25.97999954,6568145408,1.129390314,,Utilities,,,,-0.031680968,0.036844495,0.019640247,,,,,-0.0189,-0.031680968,-0.0441,-0.030682576,0.00998737,,,26.503,26.8002,26.9745,27.0772,
,FBMS,,16.14999962,86855056,0.86576101,,Financials,,,,-0.00670405,0.079148737,0.197144539,,,,,-0.0182,-0.00670405,0.1607,0.0821469,0.125992524,,,16.1015,15.7551,15.2265,14.8443,
,CPSI,,52.33000183,592143936,0.135740645,,Health Care,,,,-0.035569417,0.051867683,0,,,,,-0.027,-0.035569417,0.0753,-0.151173947,-0.13769388,,,53.039,52.9746,55.434,58.4478,
,CME,,90.91000366,30686877696,0.925418353,,Financials,,,,-0.040122431,0.038801602,0,,,,,0.0066,-0.040122431,0.0714,0.120365408,0.351257259,,,90.7623,94.222,91.7688,85.4747,
,NXST,,58.45999908,1829307392,0.044664992,,Consumer Discretionary,,,,0.021670707,0.035286579,0,,,,,-0.0029,0.021670707,0.1759,0.304962449,0.488034795,,,58.3048,56.9541,53.9236,49.4131,
