Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,ACFC,,5.860000134,90883096,0.881043929,,Financials,,,,0.003424654,0.082215509,0,,,,,0.0209,0.003424654,0.0597,0.316854019,0.476070552,,,-0.064539248,-0.012201365,0.036655289,0.03377133,
,MANT,,30.23999977,1135727744,1.034048047,,Information Technology,,,,-0.091299602,0.045522354,0,,,,,-0.0169,-0.091299602,0.1841,0.057787479,0.028590415,,,0.015939154,0.069781747,0.011742725,-0.006316138,
,SVBI,,5.75,58011052,0.553170454,,Financials,,,,0.012323974,0.050007712,0.463584077,,,,,0.0309,0.012323974,0.2339,0.19542621,0.266798845,,,0.036713043,0.061182609,0.029443478,0.021008696,
,FVE,,3.180000067,155934208,1.221438211,,Health Care,,,,-0.114206088,-0.670532793,0,,,,,-0.045,-0.114206088,0.0291,-0.337500012,-0.233734941,,,-0.010849056,0.034779873,-0.07534591,-0.008490566,
,FSP,,10.35000038,1036939648,0.901010987,,REIT,,,,-0.011461307,0.022139186,0,,,,,0.0049,-0.011461307,-0.0212,-0.054729231,-0.102460778,,,-0.024541062,-0.04158454,-0.034183574,-0.026550724,
,MDAS,,30.94000053,1836526336,0.241045286,,Health Care,,,,0.026883551,-0.019043016,0,,,,,0.0026,0.026883551,0.5424,0.402538589,0.565789483,,,0.018293471,0.133051064,0.065093729,0.041942469,
,FSNN,,3.25999999,38542820,0.114836278,,Telecommunication Services,,,,0.436123356,-0.345078668,6.27873E-06,,,,,0.055,0.436123356,0.734,0.530516345,0.034920601,,,0.198282209,0.093067485,0.009754601,-0.031226994,
,EAC,,2.050124884,28375578,3.735923899,,Industrials,,,,-0.202286017,-2.553463404,0,,,,,0.0149,-0.202286017,-0.345,-0.527621011,-0.754181673,,,-0.165502113,-0.227352004,-0.153356511,-0.212816304,
,CUTR,,12.78999996,165356512,0.297720358,,Health Care,,,,-0.100562608,-0.049075781,0,,,,,0.0063,-0.100562608,-0.0222,-0.173772588,0.197565505,,,-0.070328382,-0.026770915,-0.037271306,-0.000703675,
,H,,47.02000046,6527596544,0.632698397,,Consumer Discretionary,,,,-0.046053975,0.041209655,0,,,,,-0.0245,-0.046053975,-0.0017,-0.170576793,-0.219066581,,,-0.043938749,-0.009931944,-0.037873245,-0.026063377,
,CORT,,4.980000019,541704192,0.024878892,,Health Care,,,,-0.056818216,-0.020789944,0,,,,,-0.046,-0.056818216,0.3245,-0.17138106,0.660000006,,,0.031425703,0.091626506,-0.010220883,0.029819277,
,CKEC,,22.94000053,563817792,0.503754915,,Consumer Discretionary,,,,0.04988559,-0.016945191,0,,,,,0.0035,0.04988559,0.1419,-0.13564432,-0.126760558,,,-0.04396251,-0.003016565,-0.035640801,-0.043626852,
,VRNT,,40.56000137,2525013248,0.421303529,,Information Technology,,,,-0.134258214,0.002286721,0,,,,,-0.0139,-0.134258214,-0.06,-0.332290689,-0.304049379,,,-0.169040921,-0.029585798,-0.098730273,-0.049317059,
,VSI,,32.70000076,952242240,0.593548532,,Consumer Discretionary,,,,0.072131173,0.06158937,0,,,,,-0.0242,0.072131173,0.0018,-0.122618719,-0.326883501,,,0.080902139,-0.007944954,-0.027663608,-0.032198776,
,BCBP,,10.39999962,112752920,0.782250251,,Financials,,,,-0.069767501,0.060202432,0.088689499,,,,,-0.0105,-0.069767501,0.0545,-0.126642066,-0.068647164,,,0.005894231,0.01985577,-0.020259616,-0.009538462,
,MACK,,7.900000095,913035584,-0.154589813,,Health Care,,,,-0.160467564,-0.119596653,0,,,,,-0.0378,-0.160467564,-0.0717,-0.361099859,-0.300884959,,,-0.132443036,-0.060518987,-0.06535443,-0.044101265,
,CVGW,,49,851830400,0.194789958,,Consumer Staples,,,,-0.133969629,0.031930065,0,,,,,-0.0235,-0.133969629,0.1149,-0.041612179,0.052200436,,,-0.027540816,0.050210204,-0.009536735,0.015512245,
,SBRA,,20.22999954,1317661952,0.803861742,,REIT,,,,-0.021760191,0.050311083,4.40174E-05,,,,,-0.0137,-0.021760191,-0.1078,-0.183886213,-0.28942178,,,0.010627781,-0.078141376,-0.074977758,-0.065714287,
