Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,AQQSQ,,3.900000095,13953420,-1.219270974,,REIT,,,,-0.024999976,-1.22177932,7.1667E-05,,,,,0,-0.024999976,-0.2857,-0.190871378,-0.769094125,,,3.986,4.3756,5.0576,8.2695,
,MANT,,23.44000053,865203200,1.283868391,,Information Technology,,,,0.061458057,0.146838338,0,,,,,0.0299,0.061458057,-0.3137,-0.248049393,-0.457446225,,,22.841,24.6278,29.3503,31.3221,
,SVBI,,3.119999886,31408104,3.37629422,,Financials,,,,0.2046332,-0.006558817,0.000127356,,,,,0.047,0.2046332,-0.2161,0.333333333,0.01628663,,,3.0546,3.2505,3.368,2.9928,
,FVE,,3.069999933,147050848,1.910679277,,Health Care,,,,-0.02848106,0.431599007,0,,,,,0.0099,-0.02848106,-0.0997,0.006557371,-0.48229342,,,3.1,3.1642,3.298,3.0803,
,MCPIQ,,21.54999924,2077329408,0.59351831,,Materials,,,,0.030607336,0.050019029,9.62775E-07,,,,,-0.0124,0.030607336,-0.363,-0.081415171,-0.622062451,,,20.776,22.9146,26.2177,29.5647,
,UNIS,,3.380000114,271533984,0.206585559,,Health Care,,,,-0.171568584,-0.176721894,0,,,,,-0.237,-0.171568584,-0.1675,0.079872202,-0.298755188,,,43.24,41.544,39.6325,40.5723,
,MKTG,,12.11999989,582870144,0.249103526,,,,,,0.171014439,0.013021768,0,,,,,0.0117,0.171014439,0.0125,0.388316211,-0.294528541,,,11.5635,11.5242,11.6105,10.7915,
,FSP,,10.57999992,877477696,1.038598488,,REIT,,,,0.049603175,0.025411472,0,,,,,0.0352,0.049603175,0.0172,0.090593097,-0.113934192,,,10.1275,10.0658,10.2621,10.6025,
,MDAS,,13.44999981,784414784,0.536732607,,Health Care,,,,0.167534659,0.000557103,0,,,,,0.0259,0.167534659,0.022,0.455627721,0.018939394,,,12.1215,12.1542,12.757,11.4223,
,PLMT,,7.5,95580000,1.07135384,,Financials,,,,0.153846154,-0.18735091,0,,,,,0.026,0.153846154,0.3636,0.485148459,-0.278846127,,,7.005,6.2541,5.8597,#N/A N/A,
,EAC,,6.880000114,66068636,-1.265502136,,Industrials,,,,0.005847948,0.191422145,1.03937366,,,,,-0.0875,0.005847948,0,0,0,,,6.9865,7.2006,#N/A N/A,#N/A N/A,
,CUTR,,7.195000172,100968872,0.869258003,,Health Care,,,,0.027857167,-0.11362908,0,,,,,0.0659,0.027857167,-0.1585,0.029327669,-0.150531293,,,6.8273,7.5279,8.2109,7.8491,
,H,,37.15999985,6150715904,0.789176448,,Consumer Discretionary,,,,-0.020300566,0.01804668,0,,,,,0.0167,-0.020300566,-0.1301,-0.018748326,-0.074470774,,,36.392,38.2304,39.9454,38.0814,
,9876547D,,9.68999958,648956736,0.749197851,,,,,,0.040816235,0.011971522,0,,,,,0.0211,0.040816235,-0.0062,0.02623174,0.070225578,,,9.5335,9.4774,9.5472,9.5102,
,XPL,,1.320000052,45183600,0.255092556,,Materials,,,,0.233644848,-0.157933409,0,,,,,0.056,0.233644848,-0.0434,-0.029411736,-0.528571402,,,1.1689,1.1936,1.3297,1.4734,
,CORT,,4.489999771,397889440,0.098813882,,Health Care,,,,0.122499943,-0.091198701,0,,,,,0.0158,0.122499943,0.1425,0.30523247,0.056470534,,,4.2323,4.0121,3.9056,3.5668,
,MWV,,28.75,4971323392,0.649927556,,Materials,,,,0.0202271,0.050087267,0,,,,,0.0202,0.0202271,0.0309,0.093661372,0.021298597,,,27.861,27.8996,27.6784,26.5149,
,CKEC,,14.64999962,259466496,-0.00743834,,Consumer Discretionary,,,,0.030239054,0.046560925,0,,,,,0.0933,0.030239054,0.0502,1.141812762,1.098853808,,,13.6653,14.0035,12.2939,9.6038,
