Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,AQQSQ,,14.43999958,42661536,-0.376404638,,REIT,,,,-0.138424858,-0.453851451,2.34403E-05,,,,,-0.0654,-0.138424858,-0.1506,-0.13272628,0.137007858,,,15.3265,16.2259,17.0992,16.2743,
,MANT,,37.49000168,1380460544,0.746893512,,Information Technology,,,,-0.081127393,0.096875641,0,,,,,0.0238,-0.081127393,-0.1673,-0.124079809,0.069221632,,,35.568,40.4216,42.0443,41.7087,
,SVBI,,3.029999971,30502100,3.44228758,,Financials,,,,-0.070552153,-0.024817963,0.000131139,,,,,-0.0098,-0.070552153,-0.2251,-0.373966968,-0.158333319,,,2.8584,3.1156,3.664,3.8281,
,FVE,,3.25,154561552,1.485679906,,Health Care,,,,-0.343434318,0.155122666,0,,,,,-0.0269,-0.343434318,-0.579,-0.537037036,-0.233490525,,,3.288,4.6332,6.0758,6.625,
,MCPIQ,,56.52000046,4741813248,0.172069194,,Materials,,,,-0.111739753,0.005384438,4.2178E-07,,,,,0.085,-0.111739753,-0.1492,0.177745332,2.374328386,,,53.5355,55.8806,59.7097,53.0028,
,UNIS,,4.659999847,297547040,0.180045481,,Health Care,,,,0.040178533,-0.1367246,0,,,,,0.0108,0.040178533,-0.047,-0.012711853,-0.045082021,,,41.165,44.984,47.368,49.6998,
,MKTG,,14.56000042,685130944,0.191699121,,,,,,-0.000686292,0.01524818,0,,,,,-0.0189,-0.000686292,-0.153,0,0,,,14.2895,15.3542,#N/A N/A,#N/A N/A,
,FSP,,13.03999996,1061943680,0.872353246,,REIT,,,,0.034099946,0.020986047,0,,,,,0.0542,0.034099946,-0.0329,-0.107118789,0.175428202,,,12.139,12.6098,12.9385,13.5534,
,MDAS,,11.43000031,672839552,0.623008845,,Health Care,,,,-0.097868963,-0.088573866,0,,,,,0.0938,-0.097868963,-0.2144,-0.19336625,-0.422727235,,,10.3435,11.9372,13.4647,15.9092,
,PLMT,,10.05000019,127905344,0.847220269,,Financials,,,,-0.033653792,-0.484936736,0,,,,,-0.0195,-0.033653792,-0.1597,-0.051886809,0.005000019,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,
,CUTR,,7.889999866,109332512,0.850488096,,Health Care,,,,-0.027126979,-0.101067832,0,,,,,0.0409,-0.027126979,-0.1368,-0.183229815,0.120738624,,,7.8468,8.2154,8.3874,8.4408,
,H,,35.50999832,5863773696,0.822337351,,Consumer Discretionary,,,,-0.084557941,0.012108244,0,,,,,0.0843,-0.084557941,-0.2035,-0.223825173,-0.057089791,,,33.5425,37.6004,40.1207,42.636,
,MITI,,4.809999943,442743200,0.353805529,,,,,,-0.150176666,-0.114815993,0,,,,,0.03,-0.150176666,-0.2229,-0.227929386,-0.21661237,,,4.752,5.4216,5.7359,6.1864,
,9876547D,,8.739999771,594105856,0.821284589,,,,,,-0.067235872,0.013309076,0,,,,,-0.0068,-0.067235872,-0.0671,-0.100668275,0.030253356,,,8.62,9.0966,9.195,9.1805,
,XPL,,2.329999924,79540376,0.310119228,,Materials,,,,-0.170818516,-0.063766357,0,,,,,0.1311,-0.170818516,-0.2484,-0.410126609,0.164999962,,,2.19,2.6028,2.7571,3.0599,
,CORT,,2.829999924,238295616,0.205056227,,Health Care,,,,-0.209497211,-0.12665361,0,,,,,-0.0471,-0.209497211,-0.4271,-0.24331553,0.014336904,,,2.8405,3.4814,3.942,3.9783,
,MWV,,27.52000046,4697323008,0.743189271,,Materials,,,,-0.116249165,0.072594539,0,,,,,0.0464,-0.116249165,-0.1846,-0.047923092,0.308046282,,,23.6997,26.9072,28.0095,26.4312,
,CKEC,,7.079999924,91797000,-0.122313365,,Consumer Discretionary,,,,0.140096599,-0.168371515,0,,,,,0.1132,0.140096599,-0.0248,-0.013927564,0.170247884,,,6.4385,6.596,6.793,7.191,
,VRNT,,28.57999992,1095454208,-0.170967453,,Information Technology,,,,-0.159905951,0.028693121,0.260660842,,,,,0.07,-0.159905951,-0.1579,-0.168702762,0.212044106,,,27.2,32.1462,33.1629,33.4823,
,VSI,,44.29999924,1290330496,0.257156591,,Consumer Discretionary,,,,0.016988013,0.028482625,0,,,,,0.0367,0.016988013,0.0877,0.273354357,0.814829968,,,41.306,43.6894,41.4716,37.1449,
,BCBP,,9.800000191,90777392,1.030950526,,Financials,,,,-0.096246608,0.18241326,0,,,,,0.0629,-0.096246608,-0.0979,-0.096228737,0.19867142,,,9.514,10.4188,10.6201,10.4161,
