Date (MM/YY),MKTCAP ($B),Max MKTCAP ($M),Min MKTCAP ($M),Return,No. of Secs,Turnover,Est Txn cost (%AUM)
2011/09,14411.744398,360000.000000,10.003504, -0.080630, 3663, 0.000000, 0.000000
2011/12,14547.940700,386000.000000,10.093260, 0.039127, 3606, 0.002133, 0.000014
2012/03,16057.453950,499000.000000,10.127014, 0.119591, 3628, 0.003675, 0.000016
2012/06,15265.046287,540000.000000,10.114630, -0.023944, 3617, 0.006472, 0.000022
2012/09,16224.617584,624000.000000,10.061143, 0.083416, 3605, 0.002179, 0.000014
2012/12,16353.837018,551000.000000,10.237117, 0.026163, 3571, 0.002032, 0.000014
2013/03,17562.154465,415000.000000,10.223805, 0.093406, 3580, 0.003308, 0.000019
2013/06,18945.850049,422000.000000,10.467447, 0.093149, 3608, 0.002170, 0.000013
2013/09,19063.527594,443000.000000,10.017679, 0.024169, 3653, 0.004868, 0.000018
2013/12,21120.325611,500000.000000,10.056954, 0.122632, 3695, 0.004327, 0.000020
2014/03,22013.276930,469000.000000,10.106063, 0.059539, 3726, 0.003359, 0.000016
2014/06,22405.341772,545000.000000,10.690296, 0.033714, 3769, 0.002044, 0.000012
2014/09,23347.395110,614000.000000,10.070386, 0.055636, 3847, 0.002758, 0.000015
2014/12,23836.354533,698000.000000,10.559171, 0.046282, 3838, 0.002519, 0.000013
2015/03,24381.734036,748000.000000,10.012207, 0.038149, 3818, 0.003550, 0.000015
2015/06,24386.832471,751000.000000,10.109023, 0.016511, 3819, 0.002082, 0.000015
2015/09,22657.698094,643000.000000,10.420226, -0.046205, 3799, 0.008387, 0.000032
2015/12,23622.682783,660000.000000,10.398894, 0.064989, 3782, 0.009058, 0.000036
2016/03,21415.400104,536000.000000,10.285226, -0.060408, 3657, 0.000750, 0.000016
2016/06,23174.251625,547000.000000,10.414280, 0.111745, 3648, 0.002000, 0.000021
