Date (MM/YY),MKTCAP ($B),Max MKTCAP ($M),Min MKTCAP ($M),Return,No. of Secs,Turnover,Est Txn cost (%AUM)
2011/09,716.982229,2807.513088,67.521384, -0.078983, 1183, 0.000000, 0.000000
2011/10,633.799666,2587.326464,50.886240, -0.097937, 1179, 0.001834, 0.000026
2011/11,735.997408,2849.770240,41.798952, 0.160326, 1192, 0.006303, 0.000078
2011/12,733.508759,3049.900288,36.835992, 0.010615, 1195, 0.000215, 0.000006
2012/01,750.475517,2986.583040,36.501720, 0.023516, 1201, 0.002442, 0.000038
2012/02,805.140432,3228.469248,41.666788, 0.083010, 1199, 0.004303, 0.000025
2012/03,831.731299,3141.753600,49.312336, 0.034888, 1197, 0.002500, 0.000018
2012/04,846.533161,3334.407936,46.242496, 0.039411, 1195, 0.000174, 0.000007
2012/05,850.291033,3314.276352,35.590652, -0.008180, 1213, 0.001327, 0.000050
2012/06,791.935397,3279.339008,29.410814, -0.053202, 1209, 0.001539, 0.000023
2012/07,804.379940,2660.175360,85.228152, 0.043438, 1289, 0.178449, 0.000996
2012/08,799.774877,3203.961344,59.841044, -0.000812, 1287, 0.000977, 0.000009
2012/09,825.359685,3470.608896,70.780400, 0.038573, 1284, 0.000142, 0.000007
2012/10,853.229395,3819.775488,58.950640, 0.038771, 1278, 0.000000, 0.000008
2012/11,853.680967,5202.541056,57.873916, -0.004877, 1293, 0.003313, 0.000052
2012/12,856.911338,4841.293824,43.607324, 0.014496, 1289, 0.000145, 0.000008
2013/01,895.014379,4669.836800,45.773012, 0.045174, 1305, 0.005929, 0.000055
2013/02,954.398592,5261.160448,44.426744, 0.068400, 1307, 0.002981, 0.000017
2013/03,960.488224,5321.912832,45.773012, 0.018780, 1297, 0.000000, 0.000021
2013/04,1006.658124,5143.389184,45.773012, 0.051661, 1293, 0.000294, 0.000009
2013/05,1013.327867,4961.634304,43.360160, 0.007345, 1302, 0.004203, 0.000037
2013/06,1050.348818,5802.833408,45.814340, 0.046723, 1298, 0.000946, 0.000013
2013/07,1044.199987,5591.230976,47.971700, -0.007849, 1294, 0.001965, 0.000014
2013/08,1020.668777,3715.524864,87.458120, 0.074479, 1245, 0.120260, 0.000742
2013/09,977.097112,3608.523776,58.363072, -0.035149, 1240, 0.000058, 0.000010
2013/10,1037.496567,4329.772032,53.001608, 0.069357, 1239, 0.000338, 0.000005
2013/11,1080.224671,4883.213824,59.731972, 0.033953, 1261, 0.008734, 0.000073
2013/12,1117.267534,5423.756800,39.241932, 0.030160, 1255, 0.000604, 0.000017
2014/01,1165.329353,4635.846144,36.765124, 0.028824, 1288, 0.011102, 0.000102
2014/02,1125.269264,5364.216832,31.656706, -0.024753, 1279, 0.000000, 0.000010
2014/03,1188.827147,11254.432768,39.164532, 0.058039, 1271, 0.004092, 0.000022
2014/04,1196.568654,10741.126144,17.778598, 0.010423, 1270, 0.001490, 0.000007
2014/05,1182.092278,10074.142720,17.299458, -0.025621, 1298, 0.004427, 0.000055
2014/06,1194.584996,11268.275200,48.089108, 0.014944, 1294, 0.001933, 0.000016
2014/07,1215.588156,4365.690368,119.666560, 0.061942, 1235, 0.170165, 0.000829
2014/08,1146.103957,4338.002944,86.291664, -0.054159, 1236, 0.003549, 0.000018
2014/09,1196.823043,7930.334720,87.828664, 0.039794, 1233, 0.000193, 0.000012
2014/10,1113.481992,3987.521536,84.535088, -0.056957, 1228, 0.000551, 0.000014
2014/11,1215.947807,4350.233600,68.945504, 0.077444, 1263, 0.000737, 0.000066
2014/12,1219.493709,4617.940480,32.765280, 0.031388, 1266, 0.000379, 0.000007
2015/01,1275.620959,4913.910784,29.145860, 0.035158, 1292, 0.005575, 0.000069
2015/02,1221.598625,5045.527552,38.304216, -0.037029, 1282, 0.001072, 0.000019
2015/03,1283.442169,5343.616000,36.674248, 0.035811, 1279, 0.004028, 0.000027
2015/04,1308.752230,6015.743488,44.424456, 0.026158, 1272, 0.000076, 0.000007
2015/05,1296.379075,6724.120576,45.529540, -0.015224, 1287, 0.002980, 0.000037
2015/06,1315.841399,6390.603776,33.355152, 0.003048, 1285, 0.001922, 0.000011
2015/07,1281.090244,4304.374272,102.547472, 0.005758, 1252, 0.141983, 0.000704
2015/08,1238.783659,4796.222976,98.913712, -0.019380, 1243, 0.004302, 0.000031
2015/09,1176.259812,4314.275328,65.108160, -0.041769, 1240, 0.001003, 0.000013
2015/10,1124.470786,4603.873280,41.370648, -0.028731, 1230, 0.000129, 0.000011
2015/11,1207.592485,4707.084288,54.415448, 0.069884, 1253, 0.018478, 0.000116
2015/12,1243.000806,5106.120704,30.347854, 0.040183, 1250, 0.001985, 0.000013
2016/01,1182.619105,5282.777088,28.750600, -0.045376, 1266, 0.007127, 0.000045
2016/02,1096.977937,5398.370304,22.361578, -0.079704, 1254, 0.005855, 0.000029
2016/03,1096.558227,5254.276608,20.285146, 0.019349, 1240, 0.000086, 0.000022
2016/04,1185.371339,5851.752960,19.188210, 0.093955, 1242, 0.000875, 0.000015
2016/05,1206.747832,5256.452096,51.798748, 0.033621, 1238, 0.004787, 0.000031
2016/06,1226.952035,5652.328448,55.118700, 0.026317, 1231, 0.001155, 0.000018
2016/07,1118.001650,4105.334272,64.366040, 0.008082, 1295, 0.151909, 0.000889
2016/08,1180.345369,5457.526272,67.415800, 0.084161, 1288, 0.002228, 0.000016
