Date (MM/YY),MKTCAP ($B),Max MKTCAP ($M),Min MKTCAP ($M),Return,No. of Secs,Turnover,Est Txn cost (%AUM)
2011/09,716.982229,2807.513088,67.521384, -0.112314, 1183, 0.000000, 0.000000
2011/12,733.508759,3049.900288,36.835992, 0.024418, 1195, 0.012035, 0.000084
2012/03,831.731299,3141.753600,49.312336, 0.146424, 1197, 0.010869, 0.000082
2012/06,791.935397,3279.339008,29.410814, -0.019845, 1209, 0.012344, 0.000077
2012/09,825.359685,3470.608896,70.780400, 0.064096, 1284, 0.178609, 0.000996
2012/12,856.911338,4841.293824,43.607324, 0.035901, 1289, 0.007071, 0.000069
2013/03,960.488224,5321.912832,45.773012, 0.124670, 1297, 0.019029, 0.000098
2013/06,1050.348818,5802.833408,45.814340, 0.110018, 1298, 0.011135, 0.000063
2013/09,977.097112,3608.523776,58.363072, 0.031902, 1240, 0.113850, 0.000741
2013/12,1117.267534,5423.756800,39.241932, 0.113143, 1255, 0.016249, 0.000099
2014/03,1188.827147,11254.432768,39.164532, 0.090449, 1271, 0.019361, 0.000137
2014/06,1194.584996,11268.275200,48.089108, -0.020569, 1294, 0.010567, 0.000076
2014/09,1196.823043,7930.334720,87.828664, 0.035306, 1233, 0.172048, 0.000859
2014/12,1219.493709,4617.940480,32.765280, 0.021265, 1266, 0.008555, 0.000082
2015/03,1283.442169,5343.616000,36.674248, 0.047426, 1279, 0.020608, 0.000113
2015/06,1315.841399,6390.603776,33.355152, 0.018037, 1285, 0.005829, 0.000052
2015/09,1176.259812,4314.275328,65.108160, -0.063448, 1240, 0.128502, 0.000723
2015/12,1243.000806,5106.120704,30.347854, 0.044612, 1250, 0.024494, 0.000136
2016/03,1096.558227,5254.276608,20.285146, -0.111622, 1240, 0.016588, 0.000090
2016/06,1226.952035,5652.328448,55.118700, 0.152241, 1231, 0.007445, 0.000059
