cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn,
019222108,AHPI,NA,3.58,29.09,27.159,0.05946346,LIQ,1,10/31/2011,1,0.8379889,
019344100,ANV,NA,37.98,3391.27,529.444,0.062541603,L,1,10/31/2011,1,-5.502896,
01988P108,MDRX,NA,19.15,3599.530593,1501.297,0.154516162,K,1,10/31/2011,1,1.618799,
020002101,ALL,NA,26.34,13310.975,18764,0.028287293,L,1,10/31/2011,1,2.552648,
02341Q205,DIT,NA,55.05,33.543066,41.337,0.362403616,LIQ,1,10/31/2011,1,12.98806,
108035106,BDGE,NA,19.25,130.732082,78.046,0.202015664,LIQ,1,10/31/2011,1,0.3116883,
110122108,BMY,NA,31.59,53530.25072,16422.375,0.422942879,L,1,10/31/2011,1,3.577081,
11133T103,BR,NA,22.25,2749.07,868.6,0.403602557,L,1,10/31/2011,1,1.438202,
111412706,BVSN,NA,8.32,37.482964,53.052,-0.082410633,LIQ,1,10/31/2011,1,0.3605769,
115637100,BF.A,NA,72.85,10717.04,2223.8,0.403814862,ALB,1,10/31/2011,0.3394,6.094715,
117665109,BMTC,NA,18.36,237.75,183.383,0.194630586,K,1,10/31/2011,1,1.674281,
125141101,CECE,NA,6,86.051982,38.829,0.258411352,K,1,10/31/2011,1,1.166667,
125269100,CF,NA,162.27,11643.42,5899,0.48839802,L,1,10/31/2011,1,-13.63979,
126128107,CCNE,NA,14.32,176.33,122.23,0.158804272,K,1,10/31/2011,1,11.60563,
126408103,CSX,NA,22.21,23319.46,16270,0.24437971,L,1,10/31/2011,1,-1.684031,
126600105,CVBF,NA,9.71,1030.08,683.685,0.155703519,K,1,10/31/2011,1,1.235839,
127055101,CBT,NA,30.18,1974.08,1532,0.234028245,L,1,10/31/2011,1,10.59781,
23323G106,DGSE,NA,8.34,84.684001,19.978,0.064906609,LIQ,1,10/31/2011,1,-7.07434,
233326107,DST,NA,50.19,2335.63,1238.4,0.364867703,L,1,10/31/2011,1,-5.29986,
235851102,DHR,NA,48.35,33184.89268,16499.039,0.168215018,L,1,10/31/2011,0.85,0.06204757,
373865104,GABC,NA,17.37,218.75,160.083,0.179506367,K,1,10/31/2011,1,4.331929,
377316104,GLT,NA,15,685.73031,694.9140625,0.182428969,L,1,10/31/2011,1,-3.333333,
38141G104,GS,NA,109.55,57496.02,69256,0.1544605,ABB,1,10/31/2011,0.95,-12.15173,
383082104,GRC,NA,26.87,564.03,214.80275,0.27389822,L,1,10/31/2011,1,10.08521,
